,procedencia,fecha,nombre,opinion,viajo_con,georeferenced_column,latitude,longitude,bar_lat,bar_lon,periodo,primary_key
6,,2022-01-30 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
7,,2022-01-30 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
9,,2022-01-30 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
21,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
25,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
31,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
44,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
46,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
49,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
53,,2022-01-29 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
64,,2022-01-28 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
106,,2022-01-25 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
112,,2022-01-25 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
118,,2022-01-25 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
145,,2022-01-22 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
155,,2022-01-22 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
158,,2022-01-22 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
174,,2022-01-21 00:00,Anónimo,,Viajó solo,no data,,,41.3828939,2.1774322,2022-01,1
176,,2022-01-21 00:00,Anónimo,,Viajó solo,no data,,,41.3828939,2.1774322,2022-01,1
190,,2022-01-20 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
196,,2022-01-19 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
203,,2022-01-18 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
204,,2022-01-18 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
206,,2022-01-18 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
208,,2022-01-18 00:00,Anónimo,,Viajó solo,no data,,,41.3828939,2.1774322,2022-01,1
249,,2022-01-14 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
253,,2022-01-14 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
286,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
288,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
292,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
295,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
298,,2022-01-08 00:00,Anónimo,,Viajó solo,no data,,,41.3828939,2.1774322,2022-01,1
300,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
301,,2022-01-08 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
303,,2022-01-07 00:00,Anónimo,,Viajó solo,no data,,,41.3828939,2.1774322,2022-01,1
306,,2022-01-07 00:00,Anónimo,,,no data,,,41.3828939,2.1774322,2022-01,1
